recall,precision,threshold
1.0,0.2658137882018479,0.014612512942442488
1.0,0.26600284495021337,0.015098433944536381
1.0,0.2661921708185053,0.015291172417718307
1.0,0.26638176638176636,0.016064550012898585
1.0,0.26657163221667857,0.016399863531276145
1.0,0.26676176890156916,0.016521002102821737
1.0,0.2669521770164168,0.01693148827737802
1.0,0.2671428571428571,0.017152534232633083
1.0,0.2673338098641887,0.017368983834033198
1.0,0.2675250357653791,0.01756568603920308
1.0,0.2677165354330709,0.01759998526901268
1.0,0.2679083094555874,0.017618868716432094
1.0,0.26810035842293906,0.01769543850977742
1.0,0.2684852835606604,0.017700067153352043
1.0,0.2686781609195402,0.018227000983396406
1.0,0.26887131560028754,0.018479093428147745
1.0,0.26906474820143883,0.018717909119709927
1.0,0.26925845932325415,0.018769731196950475
1.0,0.26945244956772335,0.01922607219812613
1.0,0.26964671953857244,0.01943452988747996
1.0,0.2698412698412698,0.020037005057642974
1.0,0.2700361010830325,0.020367190238096706
1.0,0.2702312138728324,0.020458056176576964
1.0,0.27042660882140274,0.02080783097018249
1.0,0.2706222865412446,0.020833175782454975
1.0,0.27081824764663287,0.021069691025471807
1.0,0.2710144927536232,0.021277197425374914
1.0,0.271211022480058,0.02138274366997985
1.0,0.2714078374455733,0.021855541951978728
1.0,0.27180232558139533,0.022042389610464626
1.0,0.272,0.022190664317584534
1.0,0.27219796215429404,0.022237533355646065
1.0,0.27239621267297887,0.02249484957143654
1.0,0.2725947521865889,0.0226367106250925
1.0,0.2727935813274982,0.0227790858057317
1.0,0.272992700729927,0.022782906163181713
1.0,0.2731921110299489,0.02279620514715998
1.0,0.2733918128654971,0.02289644829517656
1.0,0.27359180687637163,0.02330320493598622
1.0,0.27379209370424595,0.023341696503034474
1.0,0.273992673992674,0.02345750999604033
1.0,0.27419354838709675,0.024548776660907757
1.0,0.2743947175348496,0.024573687032663247
1.0,0.2745961820851689,0.024632730109571455
1.0,0.2747979426891991,0.024657037978673607
1.0,0.275,0.02493580874038103
1.0,0.27520235467255333,0.025332999035000237
1.0,0.27540500736377027,0.025365321156013452
1.0,0.27560795873249816,0.025407685386625998
1.0,0.275811209439528,0.025567346967915596
1.0,0.27601476014760146,0.025675628332338375
1.0,0.276218611521418,0.02570048977089354
1.0,0.2764227642276423,0.027250241188906395
1.0,0.27662721893491127,0.028118131258301322
1.0,0.2768319763138416,0.028764807512787514
1.0,0.277037037037037,0.029701925172122733
1.0,0.27724240177909565,0.02983305831316295
1.0,0.2774480712166172,0.029846958774516246
1.0,0.27786032689450224,0.02995358406853869
1.0,0.27806691449814125,0.029984637248333494
1.0,0.27827380952380953,0.030661769119789413
